Product,Location,Date,Value
220,1000,01-11-2020,11.2624
220,1000,01-02-2021,88.6424
220,1000,01-03-2021,251.2868
220,1000,01-04-2021,11.368
220,1000,01-05-2021,2.4554
220,1000,01-06-2021,104.0044
220,1000,01-07-2021,118.7082
220,1000,01-08-2021,0.8764
220,1000,01-09-2021,6.7652
220,1000,01-10-2021,107.1572
220,1000,01-11-2021,13.8628
220,1000,01-12-2021,11.33
220,1000,01-01-2022,160.2036
220,1000,01-02-2022,33.368
220,1000,01-03-2022,192.0334
220,1000,01-04-2022,100.599
220,1000,01-05-2022,93.2828
220,1000,01-06-2022,173.5654
220,1000,01-07-2022,71.9914
220,1000,01-08-2022,75.0673
220,1000,01-09-2022,204.19
220,1000,01-10-2022,3.73
220,1000,01-11-2022,128.26
220,1000,01-01-2023,57.683
220,1000,01-02-2023,124.4792
220,1000,01-03-2023,61.8452
220,1000,01-04-2023,2.7618
220,1000,01-05-2023,57.7154
50,1300,01-06-2020,51.8781
50,1300,01-07-2020,49.3551
50,1300,01-10-2020,37.671
50,1300,01-11-2020,11.3796
50,1300,01-05-2021,35.9173
50,1300,01-06-2021,42.4683
50,1300,01-07-2021,64.8155
50,1300,01-09-2021,33.0301
50,1300,01-10-2021,46.9749
50,1300,01-11-2021,2.09
50,1300,01-12-2021,62.8217
50,1300,01-02-2022,60.0749
50,1300,01-03-2022,97.2195
50,1300,01-04-2022,98.4431
50,1300,01-05-2022,14.0346
50,1300,01-06-2022,13.4676
50,1300,01-07-2022,65.4757
50,1300,01-08-2022,40.2018
50,1300,01-09-2022,66.9864
50,1300,01-02-2023,55.6879
50,1300,01-03-2023,10.7958
50,1300,01-04-2023,26.012
1138,1200,01-06-2020,3.6176
1138,1200,01-07-2020,3.3388
1138,1200,01-02-2021,0.6894
1138,1200,01-06-2022,2.432
1138,1200,01-08-2022,2.2942
1138,1200,01-09-2022,9.1498
1138,1200,01-10-2022,15.63
1138,1200,01-11-2022,6.58
1138,1200,01-12-2022,11.3768
1138,1200,01-01-2023,10.601
1138,1200,01-02-2023,4.6244
1138,1200,01-03-2023,10.835
1138,1200,01-04-2023,25.6084
1138,1200,01-05-2023,2.2266
394,1000,01-01-2023,140.6373
394,1000,01-02-2023,241.7332
394,1000,01-04-2023,152.8392
394,1000,01-05-2023,54.108
